"season","page_id","action_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","scoreboard_name","shirt_number"
2018,913474,11,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"3pt","jumpshot",0,0,24,92,"A. Johnson",11
2018,913474,24,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"3pt","jumpshot",1,3,23,11,"T. Tupaea",4
2018,913474,27,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,10,36,"A. Bunton",13
2018,913474,42,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"3pt","jumpshot",1,3,31,20,"B. Smart",3
2018,913474,49,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,23,72,"T. Tupaea",4
2018,913474,53,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"3pt","jumpshot",0,0,9,95,"B. Smart",3
2018,913474,55,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",1,2,6,58,"A. Wilson",8
2018,913474,64,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"3pt","jumpshot",1,3,30,84,"A. Wilson",8
2018,913474,68,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",1,2,10,60,"A. Bunton",13
2018,913474,71,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"3pt","jumpshot",1,3,33,39,"A. Wilson",8
2018,913474,74,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"2pt","layup",1,2,7,58,"B. Snell",12
2018,913474,88,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,10,40,"V. Panousis",5
2018,913474,91,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals","REGULAR",1,"2pt","jumpshot",0,0,26,48,"A. Wilson",8
